Label,ID,Group,Hold,URL,Country,State,,Original Test URL
Axios,Axios,Axios Media Inc.,,https://www.axios.com/2024/11/13/carbon-emissions-fossil-fuels-record-high,USA,,,https://www.axios.com/north-korea-alleges-cia-plot-to-assassinate-kim-jong-un-2394227890.html
BBC,BBC,Government of U.K.,,https://www.bbc.com/news/articles/c72pr8y2r9wo,UK,,,https://www.bbc.com/news/world-europe-39816044
CNN,CNN,AT&T,,https://www.cnn.com/2024/10/25/tech/elon-musk-political-meetings-influence-dg/index.html,USA,,,https://www.cnn.com/2017/05/02/politics/health-care-bill/index.html
Guardian,Guardian,Guardian,,https://www.theguardian.com/environment/2024/nov/13/no-sign-of-promised-fossil-fuel-transition-as-emissions-hit-new-high,UK,,,https://www.theguardian.com/us-news/2017/may/01/michelle-obama-school-lunch-let-girls-learn-scrapped-trump
HuffPost,HuffPost,BuzzFeed,,https://www.huffpost.com/entry/amsterdam-police-warn-new-calls-unrest-rioters-torch-tram_n_67337230e4b0745a493be4e1,USA,,,https://m.huffpost.com/us/entry/us_5908e8d6e4b02655f84195fe
NYTimes,NYT,The New York Times,,https://www.nytimes.com/2016/11/08/nyregion/chopped-cheese-sandwich-harlem.html,USA,,,https://www.nytimes.com/2016/11/08/nyregion/chopped-cheese-sandwich-harlem.html
Pitchfork,Pitchfork,Conde Nast,,https://pitchfork.com/features/festival-report/highlights-from-pitchfork-music-festival-paris-2024/,USA,Illinois,Chicago,https://pitchfork.com/news/70091-frank-ocean-cancels-sasquatch-set-replaced-by-lcd-soundsystem/
Quartz,Quartz,Quartz,,https://qz.com/elon-musk-x-lose-users-trump-election-win-bluesky-app-1851696752,USA,New York,New York,https://qz.com/2004406/line-of-duty-is-the-biggest-british-tv-drama-in-decades
SFGate,SFG,Hearst Newspapers,,https://www.sfgate.com/politics/article/democrats-can-find-their-own-trump-in-gavin-newsom-19907712.php,USA,California,San Franciso,https://www.sfgate.com/life/article/Small-Canadian-town-will-give-land-a-job-to-9219330.php
The New Republic,TNR,Win McCormack,,https://newrepublic.com/article/142457/passion-rei-kawakubo,USA,New York,New York,https://newrepublic.com/article/142457/passion-rei-kawakubo
The New Yorker,TNY,Conde Nast,,https://www.newyorker.com/culture/open-questions/do-you-have-hope,USA,New York,New York,https://www.newyorker.com/magazine/2015/05/25/high-gear-current-cinema-anthony-lane
Vogue,Vogue,Conde Nast,,https://www.vogue.com/article/a-room-of-her-own-hispanic-society-exhibition,USA,,,https://www.vogue.com/article/elle-fanning-prada-race-car-pajamas-pjs-celebrity-style
Vox,Vox,Vox Media,,https://www.vox.com/politics/384337/trump-harris-biden-palestinians-gaza-election,USA,,,https://www.vox.com/22410713/lumber-prices-shortage
Wired,Wired,Conde Nast,,https://www.wired.com/2017/05/loony-circular-runway-will-never-happen-maybe/,USA,California,,https://www.wired.com/2017/05/loony-circular-runway-will-never-happen-maybe/
Washington Post,WP,Nash Holdings,,https://www.washingtonpost.com/world/middle_east/with-turkish-offensive-looming-syrian-kurds-mobilize-civilian-defense/2019/10/09/4efca794-ea02-11e9-a329-7378fbfa1b63_story.html,USA,District of Columbia,Washington D.C.,https://www.washingtonpost.com/world/middle_east/with-turkish-offensive-looming-syrian-kurds-mobilize-civilian-defense/2019/10/09/4efca794-ea02-11e9-a329-7378fbfa1b63_story.html
Vanity Fair,VF,Conde Nast,,https://www.vanityfair.com/news/2017/05/is-there-mutiny-in-the-white-house-comey-trump,USA,New York,New York,https://www.vanityfair.com/news/2017/05/is-there-mutiny-in-the-white-house-comey-trump
The Los Angeles Times,LATimes,Nant Capital,,https://www.latimes.com/business/technology/la-fi-tn-snap-stock-20170510-story.html,USA,California,Los Angeles,https://www.latimes.com/business/technology/la-fi-tn-snap-stock-20170510-story.html
Chicago Tribune,Tribune,Tribune Publishing,,https://www.chicagotribune.com/news/local/breaking/ct-student-sues-school-over-being-expelled-glenbrook-north-met-20170510-story.html,USA,Illinois,Chicago,https://www.chicagotribune.com/news/local/breaking/ct-student-sues-school-over-being-expelled-glenbrook-north-met-20170510-story.html
The Verge,Verge,Vox Media,,https://www.theverge.com/2017/5/10/15610744/anti-net-neutrality-fake-comments-identities,USA,New York,,https://www.theverge.com/2017/5/10/15610744/anti-net-neutrality-fake-comments-identities
Cosmopolitan,Cosmo,Hearst Magazines,,https://www.cosmopolitan.com/politics/a9636468/david-eastman-abortion-alaska-trips/,USA,New York,,https://www.cosmopolitan.com/politics/a9636468/david-eastman-abortion-alaska-trips/
Esquire,Esquire,Hearst Magazines,,https://www.esquire.com/entertainment/movies/a54942/actually-baby-groot-is-bad/,USA,New York,,https://www.esquire.com/entertainment/movies/a54942/actually-baby-groot-is-bad/
NY Daily News,DailyNews,News Corp,,https://www.nydailynews.com/news/politics/meghan-mccain-angry-trump-attacking-father-article-1.3837999,USA,New York,,https://www.nydailynews.com/news/politics/meghan-mccain-angry-trump-attacking-father-article-1.3837999
Gizmodo,Gizmodo,G/O Media,,https://gizmodo.com/your-sense-of-smell-is-not-as-terrible-as-you-think-1795128430,USA,New York,New York,https://gizmodo.com/your-sense-of-smell-is-not-as-terrible-as-you-think-1795128430
The Onion,Onion,G/O Media,,https://www.theonion.com/article/escalating-tensions-lead-trump-shake-inner-circle--56002,USA,New York,New York,https://www.theonion.com/article/escalating-tensions-lead-trump-shake-inner-circle--56002
Financial Times,FT,Nikkei Inc.,,https://www.ft.com/content/239d378e-ee20-11e6-ba01-119a44939bb6,USA,New York,New York,https://www.ft.com/content/239d378e-ee20-11e6-ba01-119a44939bb6
The Intercept,Intercept,First Look Media,,https://theintercept.com/2017/05/10/after-james-comeys-firing-who-will-stop-trumps-tinpot-dictatorship/,USA,,,https://theintercept.com/2017/05/10/after-james-comeys-firing-who-will-stop-trumps-tinpot-dictatorship/
Bloomberg,Bloomberg,Bloomberg,,https://www.bloomberg.com/news/articles/2024-11-19/microsoft-signs-ai-learning-deal-with-news-corp-s-harpercollins,USA,New York,New York,https://www.bloomberg.com/news/articles/2017-11-06/moviepass-backer-soars-on-plan-to-raise-100-million-in-funding
Teen Vogue,TeenVogue,Conde Nast,,https://www.teenvogue.com/story/thigh-high-politics-activists-resistance-lauren-duca,USA,New York,New York,https://www.teenvogue.com/story/thigh-high-politics-activists-resistance-lauren-duca
Ars Technica,ArsTechnica,Conde Nast,,https://arstechnica.com/information-technology/2017/05/nhs-ransomware-cyber-attack/,USA,New York,New York,https://arstechnica.com/information-technology/2017/05/nhs-ransomware-cyber-attack/
Nautilus,Nautilus,Nautilus,,https://nautil.us/issue/48/chaos/the-multiverse-as-muse,USA,,,https://nautil.us/issue/48/chaos/the-multiverse-as-muse
Public Integrity,PublicIntegrity,Center for Public Integrity,,https://www.publicintegrity.org/2017/04/19/20827/donald-trump-inauguration-bankrolled-corporate-giants,USA,,,https://www.publicintegrity.org/2017/04/19/20827/donald-trump-inauguration-bankrolled-corporate-giants
MSNBC,MSNBC,Comcast,,https://www.msnbc.com/rachel-maddow-show/republicans-start-literally-deleting-their-health-care-promises,USA,,,https://www.msnbc.com/rachel-maddow-show/republicans-start-literally-deleting-their-health-care-promises
NPR,NPR,NPR,,https://www.npr.org/sections/thetwo-way/2017/05/12/528119808/large-cyber-attack-hits-englands-nhs-hospital-system-ransoms-demanded,USA,,,https://www.npr.org/sections/thetwo-way/2017/05/12/528119808/large-cyber-attack-hits-englands-nhs-hospital-system-ransoms-demanded
Vice,Vice,Vice Media,,https://www.vice.com/en/article/johan-floderus-diplomat-iran-death-sentence/,USA,New York,New York,https://www.vice.com/en/article/johan-floderus-diplomat-iran-death-sentence/
